Date	Time	Title	URL	Description	Image
2026-03-14	09:35	Clublegende T.J. Trevelyan beendet seine aktive Karriere	https://www.aev-panther.de/panther/news_news,-Clublegende-TJ-Trevelyan-beendet-seine-aktive-Karriere-_naid,4262.html	Es war klar, dass dieser emotionale Tag kommen wird. T.J. Trevelyan, seit über einem Jahrzehnt das Gesicht der Augsburger Panther, verlässt die ganz große Eishockeybühne. Der 42-jährige Deutschkanadier hat sich entschieden, seine eindrucksvolle Laufbahn zu beenden. Am Sonntagnachmittag wird sich Trevelyan letztmalig das Trikot seines AEV in der Deutschen Eishockey Liga überziehen und im ausverkauften Curt-Frenzel-Stadion unter sicher grenzenlosem Jubel einlaufen. […]	https://www.aev-panther.de/cms_media/module_img/14/7300_1_org_cp_d4_Retro_AEVvNIT23_3611.jpg
2026-03-13	23:15	AEV verpasst Playoffs	https://www.aev-panther.de/panther/news_news,-AEV-verpasst-Playoffs-_naid,4261.html	Die Augsburger Panther haben die Playoffs in der Saison 2025-26 in der PENNY DEL verpasst. Am vorletzten Spieltag unterlag der AEV trotz ansprechender Leistung beim ERC Ingolstadt mit 4:7 und hat somit keine Chance mehr, auf einem der ersten zehn Plätze zu landen. Augsburg wird die Spielzeit als Elfter beenden. […]	https://www.aev-panther.de/cms_media/module_img/14/7299_1_org_ERC4.jpg
2026-03-10	15:15	Auslastung der 14 Arenen liegt über 93 Prozent	https://www.aev-panther.de/panther/news_news,-Auslastung-der-14-Arenen-liegt-%C3%BCber-93-Prozent-_naid,4260.html	"Mit den beiden letzten Spieltagen vor dem Start in die Playoffs geht am kommenden Wochenende die Hauptrunde der Saison 2025-26 in der Deutschen Eishockey Liga (PENNY DEL) zu Ende. Doch schon jetzt gibt es die ersten Erfolgsmeldungen. Mit einer Auslastung von mehr als 93 Prozent waren die 14 Arenen so gut gefüllt wie noch niemals zuvor in der mehr als 30-jährigen Geschichte der Liga. „Eine Zuschauer-Auslastung von mehr als 93 Prozent ist natürlich ein unglaublicher Wert, auf den wir und vor allem unsere Clubs sehr stolz sein können"", sagte Gernot Tripcke, Geschäftsführer der PENNY DEL, heute im Rahmen einer Pressekonferenz. „Es ist für uns ein Ansporn, das zu halten, und zugleich schwer, diesen Wert noch weiter auszubauen. Aber das ist natürlich ein Luxusproblem."" […]"	https://www.aev-panther.de/cms_media/module_img/14/7298_1_org_cp_SP46_AEV_RBM26_164k.jpg
2026-03-09	20:00	Madison Bowey für ein Spiel gesperrt	https://www.aev-panther.de/panther/news_news,-Madison-Bowey-f%C3%BCr-ein-Spiel-gesperrt-_naid,4259.html	Die Augsburger Panther müssen am Freitag in Ingolstadt aufgrund einer Sperre auf Madison Bowey verzichten. […]	https://www.aev-panther.de/cms_media/module_img/14/7294_1_org_bowey.jpeg
2026-03-08	21:22	Kaum noch Chancen auf die Playoffs	https://www.aev-panther.de/panther/news_news,-Kaum-noch-Chancen-auf-die-Playoffs-_naid,4258.html	Die Playoffs in der Saison 2025-26 in der PENNY DEL werden fast sicher ohne die Augsburger Panther stattfinden. Nach der knappen 1:2-Niederlage bei den Schwenninger Wild Wings hat der AEV nur noch theoretische Chancen auf Platz zehn. Den einzigen Treffer im Schwarzwald für die Panther erzielte Alexandre Grenier (26.). Für die Wild Wings waren Daniel O'Regan (13.) und Tyson Spink (29.) erfolgreich. […]	https://www.aev-panther.de/cms_media/module_img/14/7291_1_org_serc4.jpg
2026-03-06	22:07	Hoffnung lebt dank Busdeker-Gala	https://www.aev-panther.de/panther/news_news,-Hoffnung-lebt-dank-Busdeker-Gala-_naid,4257.html	Die Augsburger Panther haben ihre Position im Kampf um die Playoffs durch einen deutlichen Sieg gegen die Dresdner Löwen wieder deutlich verbessert. Dank einer überragenden D.J. Busdeker, der an allen sechs Toren beteiligt war, siegte der AEV mit 6:3. Die Treffer für die Panther erzielten Riley Damiani (11.), Thomas Schemitsch (27.), Busdeker (34., 44., 52.) und Cody Kunyk (38.). Für die Sachsen waren Sebastian Gorcik (5.), Lance Bouma (9.) und Austin Ortega (58.) erfolgreich. […]	https://www.aev-panther.de/cms_media/module_img/14/7290_1_org_dre4.jpg
2026-03-06	08:45	Panther empfangen die Eislöwen	https://www.aev-panther.de/panther/news_news,-Panther-empfangen-die-Eisl%C3%B6wen-_naid,4256.html	Die Augsburger Panther erwarten am Freitagabend die Dresdner Eislöwen im ausverkauften Curt-Frenzel-Stadion, Spielbeginn ist um 19:30 Uhr. […]	https://www.aev-panther.de/cms_media/module_img/14/7289_1_org_cp_SP46_AEV_RBM26_075k.jpg
2026-03-05	10:00	D.J. Busdeker im Interview	https://www.aev-panther.de/panther/news_news,-DJ-Busdeker-im-Interview-_naid,4255.html	"Die Saison 2025-26 ist für D.J. Busdeker die zweite im Trikot der Augsburger Panther. Der US-Amerikaner wechselte im Sommer 2024 in die Fuggerstadt, wo er seitdem für die Panther auf Torejagd geht. Vor wenigen Wochen hat sich ""Sport in Augsburg"" mit ihm zu einem ausführlichen Interview getroffen, um mehr über ihn und seine Laufbahn zu erfahren. […]"	https://www.aev-panther.de/cms_media/module_img/14/7288_1_org_20251219_FRAAEV_Goldberg_114.jpg
2026-03-04	22:15	Nichts zu holen beim Spitzenreiter	https://www.aev-panther.de/panther/news_news,-Nichts-zu-holen-beim-Spitzenreiter-_naid,4254.html	Die erste Playoff-Runde ist für die Augsburger Panther in der PENNY DEL immer schwerer zu erreichen. Bei den Kölner Haien verlor der AEV mit 2:6 und liegt nun bei noch vier Partien weiter sechs Punkte hinter Platz zehn. Die Treffer für die Panther in Köln erzielten D.J. Busdeker (22.) und Ryan Button (52.). Für die Haie waren Kevin Niedenz (8., 20.), Oliwer Kaski (28.), Ryan MacInnis (36.), Valtteri Kemiläinen (48.) und Tanner Kero (52.) erfolgreich. […]	https://www.aev-panther.de/cms_media/module_img/14/7287_1_org_KEC4.jpg
2026-03-01	18:46	AEV verliert in Iserlohn	https://www.aev-panther.de/panther/news_news,-AEV-verliert-in-Iserlohn-_naid,4253.html	Die Hoffnungen auf Platz zehn in der PENNY DEL schwinden für die Augsburger Panther. Bei den Iserlohn Roosters unterlag der AEV mit 2:4 und verlor damit das zweite Spiel in Folge. Die Tore für die Panther erzielten D.J. Busdeker (17.) und Enrico Henriquez (53.). Für Iserlohn waren Tyler Boland (24.), Erik Salsten (34.), Colin Ugbekile (55.) und Christian Thomas (60.) erfolgreich. […]	https://www.aev-panther.de/cms_media/module_img/14/7286_1_org_IEC4.jpg
2026-02-27	22:16	Panther verlieren letztes Derby der Saison	https://www.aev-panther.de/panther/news_news,-Panther-verlieren-letztes-Derby-der-Saison-_naid,4252.html	Die Augsburger Panther haben das vierte und letzte Derby der Saison in der PENNY DEL gegen den EHC Red Bull München verloren. Trotz einer über weite Strecken starken Vorstellung unterlag der AEV mit 2:4 und musste einen bitteren Rückschlag im Kampf um Platz zehn hinnehmen. Die Treffer für die Panther erzielten Moritz Elias (30.) und Cody Kunyk (50.). Für München waren Ryan Murphy (22.), Maximilian Kastner (25.), Markus Eisenschmid (35.) und Tobias Rieder (48.) erfolgreich. […]	https://www.aev-panther.de/cms_media/module_img/14/7285_1_org_MUC4.jpg
2026-02-27	08:45	Derby gegen München zur besten Eishockeyzeit	https://www.aev-panther.de/panther/news_news,-Derby-gegen-M%C3%BCnchen-zur-besten-Eishockeyzeit-_naid,4250.html	Die Augsburger Panther empfangen am Freitagabend Red Bull München im ausverkauften Curt-Frenzel-Stadion. Spielbeginn ist um 19:30 Uhr. […]	https://www.aev-panther.de/cms_media/module_img/14/7283_1_org_DSC_0347.jpg
2026-02-26	14:00	Clubs reichen Lizenzanträge ein	https://www.aev-panther.de/panther/news_news,-Clubs-reichen-Lizenzantr%C3%A4ge-ein-_naid,4251.html	Die Augsburger Panther und die 13 anderen Clubs der Deutschen Eishockey Liga (PENNY DEL) haben ihre Anträge zur Teilnahme an der Lizenzprüfung für die kommende Saison fristgerecht beim Ligabüro in Neuss eingereicht. […]	https://www.aev-panther.de/cms_media/module_img/14/7284_1_org_20260116_AEVFRA_Goldberg_228.jpg
